Name,Roll No,Department,Year,Email,Phone
Zara Edwin,IN348,IT,4th,tejasbail@lalla.org,+912877222476
Azad Gara,IN349,IT,3rd,madhupwalia@gmail.com,+913132252576
Faiyaz Bhavsar,IN350,Data Science,3rd,navyagara@dhillon.com,03844559605
Ira Dhingra,IN351,Data Science,2nd,xanand@hotmail.com,4086816137
Mamooty Saha,IN352,Civil,4th,arnavchar@gmail.com,01703175842
Himmat Bains,IN353,Computer Science,3rd,dsom@cheema-kibe.com,6671671627
Zain Sankaran,IN354,IT,1st,tejas59@dhaliwal-kara.com,+913469593182
Kavya Ratti,IN355,Data Science,2nd,vigsaira@deshpande.com,00025350652
Navya Chana,IN356,Mechanical,4th,bhavintella@gmail.com,05094164304
Rasha Dugar,IN357,IT,2nd,magarfateh@gmail.com,9279854077
Jayesh Sant,IN358,Computer Science,2nd,divijandra@krish.com,+914692721563
Khushi Kade,IN359,Data Science,2nd,dchana@yahoo.com,+916939259555
Kabir Barad,IN360,Electronics,4th,hvenkataraman@keer.com,+913471680813
Advik Reddy,IN361,Data Science,3rd,sodhialisha@tata.com,06145231492
Advika Korpal,IN362,Biotechnology,3rd,chakrabartistuvan@sem.com,9490040874
Saksham Gaba,IN363,Biotechnology,4th,kkoshy@hotmail.com,5887024884
Indrans Bhagat,IN364,Electronics,4th,khushi63@gmail.com,02384384777
Nehmat Basu,IN365,Computer Science,1st,raghavmander@salvi.biz,7826082354
Alisha Barad,IN366,Civil,3rd,arhaan24@yahoo.com,05305117613
Reyansh Mall,IN367,Data Science,3rd,ulall@anne.biz,+917112980454
Tara Bassi,IN368,Biotechnology,2nd,pari95@gaba.org,5258057186
Ranbir Master,IN369,Electronics,3rd,tara76@hotmail.com,+914727033009
Yakshit Kashyap,IN370,Civil,3rd,balayaaryahi@loke.com,+912843457830
Shayak Cheema,IN371,IT,2nd,wluthra@rastogi-rana.biz,7016743110
Eva Kant,IN372,IT,3rd,zara58@jhaveri.com,04467650164
Darshit Mahajan,IN373,Electronics,2nd,mandalvihaan@walia.com,+913357482437
Kashvi Zachariah,IN374,Civil,2nd,vtrivedi@hotmail.com,3565088336
Mannat Sinha,IN375,Mechanical,3rd,vyaspari@yahoo.com,+915500541261
Adira Kumer,IN376,Electronics,3rd,sumer81@hotmail.com,+912027276959
Prerak Chandran,IN377,Electronics,3rd,prerakkaran@zachariah.com,+916069768681
Romil Kunda,IN378,Electronics,3rd,ramaswamyadah@yahoo.com,03193860872
Aaryahi Chandra,IN379,Electronics,4th,adiradesai@gmail.com,5651724328
Vardaniya Varughese,IN380,Civil,4th,deydarshit@walia.net,00674142264
Seher Acharya,IN381,Computer Science,4th,kardivij@gmail.com,+912211748998
Amira Sahota,IN382,Data Science,3rd,tbiswas@yahoo.com,5841060768
Vedika Dhar,IN383,Mechanical,2nd,tiyachatterjee@yahoo.com,01479185291
Mamooty Dhawan,IN384,Data Science,2nd,karpedivij@gmail.com,9941225484
Bhavin Rastogi,IN385,Civil,4th,nishith12@yahoo.com,+912595389412
Zeeshan Baria,IN386,Electronics,4th,boraaarush@mangal.com,00744686360
Manikya Shetty,IN387,IT,2nd,ubehl@yahoo.com,06785266008
Aayush Keer,IN388,Biotechnology,2nd,borahmanikya@sarna-dar.org,04063627605
Adah Cherian,IN389,Biotechnology,2nd,eshanikhosla@hotmail.com,03792334878
Rania Contractor,IN390,IT,3rd,ubutala@hotmail.com,03707334680
Shayak Dayal,IN391,Mechanical,1st,hrishita67@hotmail.com,+919446488926
Kiaan Ram,IN392,Electronics,1st,aarushbhandari@jaggi-roy.org,1732344634
Shlok Kala,IN393,Data Science,1st,elakshi45@dua.biz,+919687060740
Amira Thakkar,IN394,Data Science,2nd,edesai@balay.com,4483325384
Navya Deep,IN395,Civil,2nd,ddara@dutt-sandhu.com,06299578121
Divij Barman,IN396,Electronics,1st,raunakbassi@bose.info,8003278214
Himmat Doshi,IN397,Electronics,3rd,kamdardrishya@gmail.com,9622250112
Madhav Rao,IN398,Mechanical,3rd,zbasak@shetty.org,5047797382
Kimaya Mallick,IN399,IT,1st,shaneva@bail-kade.info,02480962088
Baiju Chandran,IN400,IT,4th,ranbir22@hotmail.com,03670966373
Raunak Gokhale,IN401,Electronics,4th,rajanmyra@gera.info,01337083848
Vardaniya Amble,IN402,Mechanical,3rd,aradhyadhingra@sethi.org,04153722441
Armaan Toor,IN403,IT,2nd,damini55@lad.org,+916892967718
Aarav Jha,IN404,Data Science,4th,sedwin@anand.biz,7529722662
Zara Kalla,IN405,Data Science,3rd,deshmukhkeya@dave-acharya.com,6096955289
Nayantara Sule,IN406,Biotechnology,4th,anaydhar@gmail.com,+915929607461
Aaina Sawhney,IN407,Electronics,1st,mchaudhari@gmail.com,2148136747
Nirvi Walia,IN408,Biotechnology,1st,aarna70@bhasin.com,0897748255
Oorja Vyas,IN409,Data Science,2nd,raujhanvi@sethi-choudhary.com,+910079862000
Advika Balan,IN410,Civil,4th,chanderarnav@hotmail.com,5851904441
Saira Rege,IN411,Mechanical,3rd,tejassubramanian@yahoo.com,0280821828
Nehmat Kalla,IN412,Data Science,4th,nsethi@warrior.com,+915206024187
Pari Dugal,IN413,IT,3rd,dishaniloyal@ghosh.biz,2671515873
Ritvik Sampath,IN414,IT,2nd,halderyuvaan@karpe.com,9880210322
Emir Bajwa,IN415,Data Science,2nd,jthaman@ramachandran-bail.biz,06462904759
Vanya Sibal,IN416,Computer Science,4th,chawlayuvaan@hotmail.com,09341478417
Armaan Dixit,IN417,Mechanical,1st,yuvaanchar@majumdar-comar.com,08810662377
Badal Sane,IN418,Computer Science,1st,bahlzoya@gmail.com,5388668751
Vaibhav Seshadri,IN419,Electronics,4th,rastogidivij@toor.com,4260575424
Madhup Saha,IN420,Biotechnology,4th,prajan@yahoo.com,+915330084498
Saksham Dhar,IN421,Biotechnology,1st,prishasawhney@subramanian.com,02230947478
Adah Yogi,IN422,Data Science,2nd,nitaradeshpande@gmail.com,04643925113
Zeeshan Ganguly,IN423,Computer Science,4th,manjari26@gmail.com,+916058355123
Piya Khosla,IN424,Civil,3rd,sairamaharaj@hotmail.com,05832454746
Drishya Sarkar,IN425,Data Science,4th,bhagatneelofar@hotmail.com,00351052560
Bhamini Jain,IN426,Biotechnology,3rd,rbarad@hegde.com,1629571194
Biju Raj,IN427,Data Science,3rd,hbala@gmail.com,7905013569
Purab Bhat,IN428,Civil,1st,prajagopal@hotmail.com,01841695317
Indranil Balan,IN429,Civil,2nd,khari@hotmail.com,+912088338920
Jivin Shukla,IN430,IT,4th,fanne@yahoo.com,08542157312
Vaibhav Hora,IN431,Mechanical,1st,bordeeshani@yahoo.com,+914469313875
Vritika Deshpande,IN432,Biotechnology,2nd,eshani03@ahuja.com,8616436756
Kiaan Wagle,IN433,Biotechnology,4th,raghavamble@kamdar-chopra.com,+911243147787
Hrishita Dhawan,IN434,Mechanical,2nd,uzacharia@lanka-sem.com,02181928122
Mohanlal Goel,IN435,Data Science,3rd,galaakarsh@chander-balakrishnan.com,+913768628306
Dishani Walia,IN436,Electronics,3rd,mishtibobal@gmail.com,01806464305
Raghav Tata,IN437,Electronics,3rd,azadben@bail.biz,06073136175
Gatik Chhabra,IN438,IT,3rd,riya64@gmail.com,+911260461174
Aarush Khurana,IN439,Electronics,1st,krish71@chatterjee.com,+911636275043
Ryan Suri,IN440,Data Science,3rd,aaryahibarad@goswami.com,06052567927
Vardaniya Devan,IN441,Civil,2nd,seherchad@gmail.com,+910268706191
Tarini Jha,IN442,Electronics,2nd,bhavin63@gmail.com,7878336768
Nirvaan Seth,IN443,Mechanical,2nd,siya75@gmail.com,01547844672
Shray Mallick,IN444,Biotechnology,2nd,jahluwalia@yahoo.com,01194930879
Ayesha Mandal,IN445,Computer Science,2nd,aaravdhingra@yahoo.com,6882361387
Ela Vig,IN446,Mechanical,2nd,hdhingra@yahoo.com,+918009470710
Aayush Din,IN447,Biotechnology,1st,cdhaliwal@gmail.com,08719101713
Alisha Chander,IN448,Computer Science,1st,baliraghav@hotmail.com,02037766158
Khushi Butala,IN449,IT,1st,prisha04@hotmail.com,05740420717
Kaira Chand,IN450,IT,4th,anyabatta@hotmail.com,+919353518578
Ishita Bains,IN451,IT,4th,reyansh01@shukla.com,2425020729
Taran Gola,IN452,Mechanical,1st,nkeer@gole.com,02049921635
Damini Chahal,IN453,Data Science,1st,semaarav@gmail.com,03793313652
Ayesha Chad,IN454,Data Science,1st,ktoor@gmail.com,9800731021
Samar Kapoor,IN455,IT,1st,balaraunak@gopal.net,+913307653080
Hazel Ratti,IN456,IT,1st,butalakismat@gmail.com,+919518623760
Seher Venkataraman,IN457,Data Science,4th,bandinitara@yahoo.com,04208022462
Taimur Chowdhury,IN458,Civil,3rd,walialia@chad.com,08986392230
Jivin Sawhney,IN459,Computer Science,4th,riaan50@hotmail.com,+916989242414
Vanya Kapadia,IN460,Civil,1st,jivin24@yahoo.com,05362460224
Vanya Sinha,IN461,Mechanical,4th,lagansinghal@taneja.com,7489304840
Anika Ranganathan,IN462,Electronics,4th,ahana-sanghvi@hotmail.com,+915740416570
Vedika Luthra,IN463,Biotechnology,2nd,shalvbiswas@karpe.biz,5972180747
Zaina Vora,IN464,Data Science,3rd,chanderelakshi@banerjee.com,4484570867
Dharmajan Roy,IN465,Data Science,2nd,khushi29@gmail.com,+910121527277
Amira Srinivas,IN466,Biotechnology,1st,ulalla@hotmail.com,+912679773572
Shray Virk,IN467,Electronics,1st,tusharsagar@gmail.com,+918792616579
Shalv Venkataraman,IN468,Electronics,2nd,tararati@saini.com,0887943881
Ishaan Verma,IN469,Electronics,3rd,manjarideep@hotmail.com,6838479845
Rasha Amble,IN470,Data Science,4th,badalkismat@chokshi.net,9015934208
Priyansh Dada,IN471,Civil,2nd,gandhijayant@gmail.com,8035905673
Amani Sachdeva,IN472,Computer Science,1st,reyanshrajagopal@yahoo.com,+914685732033
Pari Chawla,IN473,Computer Science,3rd,gourayesha@gmail.com,1586165534
Pranay Karpe,IN474,IT,4th,kimayadyal@gmail.com,+916244002290
Anika Kashyap,IN475,Civil,4th,sahnivedika@yahoo.com,7676000910
Ishaan Gola,IN476,Electronics,4th,himmat54@gmail.com,04656916111
Rasha Bava,IN477,Mechanical,2nd,bailanahi@rao-wadhwa.com,09940611080
Indrans Dyal,IN478,Computer Science,3rd,dvarughese@virk.com,08234835442
Biju Sarraf,IN479,Computer Science,3rd,chauhanivan@lall.com,4708682655
Manjari Dora,IN480,Civil,3rd,evasridhar@gmail.com,03618569587
Indranil Basak,IN481,Biotechnology,1st,arnavdhar@kumar.biz,+912890442384
Siya Rama,IN482,Biotechnology,1st,kohliuthkarsh@yahoo.com,9819949270
Samiha Zacharia,IN483,Civil,4th,jayeshvasa@hotmail.com,4373962292
Nirvaan Borah,IN484,IT,3rd,ahana-trivedi@doshi.com,3872199388
Miraya Sha,IN485,Data Science,1st,borradamini@din.com,+919276139306
Damini Boase,IN486,Computer Science,3rd,jraju@gandhi.net,+913881635208
Sana Chaudhuri,IN487,Electronics,1st,fateh09@basu.com,+917497519822
Yasmin Srivastava,IN488,IT,3rd,madanadvik@yahoo.com,01418667013
Vivaan Sawhney,IN489,Data Science,1st,himmat44@yahoo.com,2310507829
Raghav Jha,IN490,Computer Science,1st,akorpal@gmail.com,0191751990
Hansh Sanghvi,IN491,Mechanical,4th,rheahayer@bhatnagar.com,5853718538
Shanaya Swaminathan,IN492,Mechanical,3rd,shalv99@hotmail.com,09032773077
Amira Yogi,IN493,Electronics,2nd,vthakur@yahoo.com,+913429697201
Uthkarsh Gade,IN494,Data Science,3rd,khatriaaina@gmail.com,00247841772
Drishya Kapoor,IN495,Electronics,2nd,mraval@yahoo.com,5204120351
Priyansh Randhawa,IN496,Mechanical,1st,neysa24@hotmail.com,6657404211
Samarth Dayal,IN497,Data Science,3rd,keyaroy@hotmail.com,7265210287
Arnav Sahni,IN498,Computer Science,3rd,zkurian@issac-bajaj.biz,04659191562
Mannat Mander,IN499,Electronics,1st,misha00@warrior-tiwari.biz,0867996591
Zain Dhawan,IN500,IT,4th,azadratti@yahoo.com,07445653705
